Supplier_Name,Part_Number,Price_USD,PO_Number,PO_Created_Date,Original_Promise_Date,Supplier_Delivered_Date,Delivery_Speed_Days,Delay_Days,On_Time_Delivery,Year
Supplier B,PART-0076,362.34,PO-400000,2024-03-30,2024-04-12,2024-04-27,28,15,0,2024
Supplier C,PART-0023,382.28,PO-400001,2025-05-06,2025-05-20,2025-05-29,23,9,0,2025
Supplier B,PART-0098,250.92,PO-400002,2024-02-25,2024-03-09,2024-03-11,15,2,0,2024
Supplier A,PART-0026,147.83,PO-400003,2024-11-28,2024-12-03,2024-12-01,3,-2,1,2024
Supplier C,PART-0073,138.29,PO-400004,2025-12-21,2025-12-25,2025-12-20,-1,-5,1,2025
Supplier A,PART-0048,390.82,PO-400005,2025-05-31,2025-06-14,2025-06-16,16,2,0,2025
Supplier A,PART-0060,187.48,PO-400006,2024-03-24,2024-04-14,2024-04-16,23,2,0,2024
Supplier A,PART-0019,148.19,PO-400007,2024-05-26,2024-05-30,2024-05-26,0,-4,1,2024
Supplier B,PART-0073,392.51,PO-400008,2025-08-22,2025-09-05,2025-09-16,25,11,0,2025
Supplier C,PART-0041,194.68,PO-400009,2024-11-10,2024-11-23,2024-11-25,15,2,0,2024
Supplier C,PART-0082,107.06,PO-400010,2024-06-11,2024-06-18,2024-06-13,2,-5,1,2024
Supplier A,PART-0049,220.84,PO-400011,2024-02-03,2024-02-14,2024-02-25,22,11,0,2024
Supplier B,PART-0045,147.63,PO-400012,2024-09-11,2024-09-14,2024-09-13,2,-1,1,2024
Supplier A,PART-0084,383.75,PO-400013,2025-06-22,2025-07-02,2025-07-12,20,10,0,2025
Supplier B,PART-0026,172.38,PO-400014,2025-10-28,2025-11-19,2025-11-21,24,2,0,2025
Supplier A,PART-0004,133.97,PO-400015,2025-10-12,2025-10-16,2025-10-16,4,0,1,2025
Supplier B,PART-0092,213.37,PO-400016,2025-03-01,2025-03-26,2025-04-08,38,13,0,2025
Supplier A,PART-0075,334.77,PO-400017,2024-01-10,2024-01-20,2024-01-27,17,7,0,2024
Supplier A,PART-0025,64.86,PO-400018,2024-09-29,2024-10-03,2024-10-01,2,-2,1,2024
Supplier A,PART-0085,310.87,PO-400019,2024-02-15,2024-03-01,2024-03-13,27,12,0,2024
Supplier B,PART-0087,291.95,PO-400020,2025-06-24,2025-07-16,2025-07-24,30,8,0,2025
Supplier C,PART-0002,206.17,PO-400021,2025-07-19,2025-08-07,2025-08-22,34,15,0,2025
Supplier B,PART-0055,115.39,PO-400022,2024-04-27,2024-05-01,2024-04-26,-1,-5,1,2024
Supplier B,PART-0031,307.59,PO-400023,2024-06-03,2024-06-13,2024-06-16,13,3,0,2024
Supplier B,PART-0067,173.61,PO-400024,2024-11-09,2024-11-27,2024-12-06,27,9,0,2024
Supplier B,PART-0098,301.96,PO-400025,2024-05-07,2024-05-31,2024-06-15,39,15,0,2024
Supplier B,PART-0012,221.38,PO-400026,2024-03-28,2024-04-20,2024-04-27,30,7,0,2024
Supplier B,PART-0040,119.08,PO-400027,2024-01-18,2024-01-25,2024-01-21,3,-4,1,2024
Supplier A,PART-0042,260.86,PO-400028,2024-08-12,2024-08-30,2024-09-12,31,13,0,2024
Supplier C,PART-0098,147.91,PO-400029,2025-02-22,2025-02-27,2025-02-22,0,-5,1,2025
Supplier C,PART-0030,242.72,PO-400030,2024-08-23,2024-09-16,2024-09-28,36,12,0,2024
Supplier C,PART-0084,102.13,PO-400031,2025-09-06,2025-09-10,2025-09-07,1,-3,1,2025
Supplier A,PART-0072,323.3,PO-400032,2024-08-27,2024-09-06,2024-09-09,13,3,0,2024
Supplier C,PART-0021,305.18,PO-400033,2025-05-03,2025-05-15,2025-05-25,22,10,0,2025
Supplier C,PART-0057,181.06,PO-400034,2025-01-17,2025-01-28,2025-02-02,16,5,0,2025
Supplier C,PART-0076,137.0,PO-400035,2025-05-12,2025-05-19,2025-05-17,5,-2,1,2025
Supplier C,PART-0021,373.19,PO-400036,2024-09-24,2024-10-16,2024-10-29,35,13,0,2024
Supplier C,PART-0054,221.12,PO-400037,2024-12-07,2024-12-26,2025-01-04,28,9,0,2024
Supplier B,PART-0070,230.09,PO-400038,2025-06-28,2025-07-20,2025-07-24,26,4,0,2025
Supplier C,PART-0042,246.16,PO-400039,2024-10-02,2024-10-21,2024-10-29,27,8,0,2024
Supplier A,PART-0021,121.88,PO-400040,2024-05-23,2024-05-29,2024-05-26,3,-3,1,2024
Supplier C,PART-0033,338.01,PO-400041,2025-01-21,2025-02-06,2025-02-20,30,14,0,2025
Supplier C,PART-0073,83.37,PO-400042,2025-08-27,2025-09-02,2025-08-28,1,-5,1,2025
Supplier A,PART-0100,172.52,PO-400043,2025-04-27,2025-05-14,2025-05-27,30,13,0,2025
Supplier A,PART-0100,195.2,PO-400044,2024-02-24,2024-03-12,2024-03-16,21,4,0,2024
Supplier C,PART-0011,245.06,PO-400045,2024-02-24,2024-03-12,2024-03-14,19,2,0,2024
Supplier B,PART-0002,353.17,PO-400046,2024-01-01,2024-01-20,2024-01-23,22,3,0,2024
Supplier C,PART-0032,397.84,PO-400047,2024-05-23,2024-06-15,2024-06-27,35,12,0,2024
Supplier A,PART-0026,100.94,PO-400048,2025-07-25,2025-07-31,2025-07-31,6,0,1,2025
Supplier C,PART-0085,146.96,PO-400049,2025-04-14,2025-04-20,2025-04-17,3,-3,1,2025
Supplier C,PART-0066,336.57,PO-400050,2025-01-10,2025-01-27,2025-02-07,28,11,0,2025
Supplier B,PART-0031,312.77,PO-400051,2024-04-21,2024-05-11,2024-05-17,26,6,0,2024
Supplier C,PART-0098,108.29,PO-400052,2024-08-02,2024-08-08,2024-08-03,1,-5,1,2024
Supplier B,PART-0014,317.83,PO-400053,2025-06-15,2025-07-04,2025-07-12,27,8,0,2025
Supplier C,PART-0073,103.64,PO-400054,2024-03-26,2024-04-01,2024-04-01,6,0,1,2024
Supplier B,PART-0010,228.53,PO-400055,2025-12-04,2025-12-29,2026-01-05,32,7,0,2025
Supplier C,PART-0037,178.56,PO-400056,2025-06-09,2025-06-21,2025-06-24,15,3,0,2025
Supplier A,PART-0038,318.48,PO-400057,2024-06-17,2024-07-04,2024-07-18,31,14,0,2024
Supplier B,PART-0005,240.91,PO-400058,2024-05-10,2024-06-04,2024-06-08,29,4,0,2024
Supplier A,PART-0001,82.35,PO-400059,2024-07-09,2024-07-13,2024-07-08,-1,-5,1,2024
Supplier A,PART-0095,366.75,PO-400060,2025-01-18,2025-01-28,2025-01-29,11,1,0,2025
Supplier B,PART-0045,143.72,PO-400061,2025-11-14,2025-11-17,2025-11-12,-2,-5,1,2025
Supplier B,PART-0046,104.74,PO-400062,2025-05-26,2025-06-01,2025-05-30,4,-2,1,2025
Supplier C,PART-0026,174.56,PO-400063,2025-04-06,2025-04-22,2025-04-26,20,4,0,2025
Supplier A,PART-0020,81.75,PO-400064,2025-10-25,2025-10-30,2025-10-29,4,-1,1,2025
Supplier C,PART-0061,365.0,PO-400065,2024-04-10,2024-05-04,2024-05-11,31,7,0,2024
Supplier A,PART-0073,378.65,PO-400066,2024-10-26,2024-11-12,2024-11-23,28,11,0,2024
Supplier B,PART-0089,304.3,PO-400067,2025-09-19,2025-10-08,2025-10-23,34,15,0,2025
Supplier B,PART-0092,322.44,PO-400068,2025-09-17,2025-09-28,2025-10-02,15,4,0,2025
Supplier A,PART-0078,225.25,PO-400069,2024-06-09,2024-06-22,2024-07-04,25,12,0,2024
Supplier C,PART-0081,73.2,PO-400070,2025-05-20,2025-05-26,2025-05-24,4,-2,1,2025
Supplier A,PART-0082,282.53,PO-400071,2025-04-19,2025-05-10,2025-05-12,23,2,0,2025
Supplier B,PART-0018,386.7,PO-400072,2025-11-04,2025-11-28,2025-12-12,38,14,0,2025
Supplier A,PART-0092,305.99,PO-400073,2024-10-22,2024-11-11,2024-11-24,33,13,0,2024
Supplier B,PART-0004,395.24,PO-400074,2024-05-21,2024-06-01,2024-06-02,12,1,0,2024
Supplier B,PART-0095,247.89,PO-400075,2024-09-09,2024-09-28,2024-10-06,27,8,0,2024
Supplier A,PART-0016,101.83,PO-400076,2025-11-24,2025-11-30,2025-11-30,6,0,1,2025
